
Gurobi 10.0.1 (win64) logging started Sun Apr 26 00:25:57 2026

Set parameter LogFile to value "D:\Project_Code\Paper\DP_LBBD_1\DP_lbbd\Algorithm\Results\mip_v1\large\exp_7f_65j_seed2\log\exp_7f_65j_seed2_gurobi.log"
Set parameter LogToConsole to value 0
Gurobi Optimizer version 10.0.1 build v10.0.1rc0 (win64)

CPU model: Intel(R) Core(TM) Ultra 7 265KF, instruction set [SSE2|AVX|AVX2]
Thread count: 20 physical cores, 20 logical processors, using up to 20 threads

Optimize a model with 238083 rows, 118950 columns and 1177256 nonzeros
Model fingerprint: 0xe32bb9ed
Variable types: 1950 continuous, 117000 integer (117000 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+02]
  Objective range  [3e+01, 4e+03]
  Bounds range     [1e+00, 2e+02]
  RHS range        [1e+00, 6e+02]
Found heuristic solution: objective -0.0000000
Presolve removed 142657 rows and 71172 columns
Presolve time: 1.85s
Presolved: 95426 rows, 47778 columns, 469526 nonzeros
Variable types: 1255 continuous, 46523 integer (46523 binary)

Deterministic concurrent LP optimizer: primal and dual simplex (primal and dual model)
Showing first log only...

Root relaxation presolved: 95426 rows, 47778 columns, 469526 nonzeros


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0   -0.0000000e+00   0.000000e+00   3.869096e+03     10s
Concurrent spin time: 0.00s

Solved with dual simplex (primal model)

Root relaxation: objective 3.044150e+04, 4658 iterations, 0.34 seconds (0.43 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 26413 18841 27540.4405   91  157 23382.6902 29983.4139  28.2%  74.9  476s
 27370 19924 26973.5116  130  128 23382.6902 29983.4139  28.2%  74.7  483s
 28509 20068 25478.2689  162   99 23382.6902 29983.4139  28.2%  73.9  769s
H28516 20060                    23421.729143 29983.4139  28.0%  73.9  769s
 28669 20550 25504.9285  164  103 23421.7291 29983.4139  28.0%  73.9  774s
 29227 20817 24815.5382  181  111 23421.7291 29983.4139  28.0%  73.6  782s
H29370 20817                    23421.729145 29983.4139  28.0%  73.4  782s
 29502 21683 24537.6561  184  102 23421.7291 29981.2529  28.0%  73.3  789s
 30462 22266 29086.5461   40  193 23421.7291 29980.4283  28.0%  72.3  801s
 31123 23618 26803.1735   59  164 23421.7291 29976.9551  28.0%  71.9  812s
 32617 24503 28554.8549   43  219 23421.7291 29976.9551  28.0%  71.0  824s
 33639 25613 24726.5555   84  125 23421.7291 29973.4419  28.0%  70.2  834s
 34011 25613 infeasible  123      23421.7291 29973.4419  28.0%  70.4  835s
 35222 26548 28550.2950   48  201 23421.7291 29973.4419  28.0%  70.0  847s
 36316 28545 infeasible  166      23421.7291 29973.4419  28.0%  70.1  861s
 38780 30172 29072.4534   67  208 23421.7291 29973.4419  28.0%  69.3  873s
 40748 31806 29973.1207   42  257 23421.7291 29973.4419  28.0%  70.0  885s
 42544 35146 27939.6738  115  153 23421.7291 29973.4419  28.0%  70.6  904s
 45990 35166 27270.9785  207  131 23421.7291 29973.4419  28.0%  67.9  922s
H45994 34661                    23766.174576 29973.4419  26.1%  67.9  923s
 46010 36891 27270.9785  208  130 23766.1746 29973.4419  26.1%  67.9  937s
 48599 36892 26861.7664  191  382 23766.1746 29973.4419  26.1%  66.4 1751s
 48601 36893 25360.7819  240  189 23766.1746 29973.4419  26.1%  66.4 1765s
 48602 36894 24569.5301  205  235 23766.1746 29973.4419  26.1%  66.4 1780s
 48605 36896 27245.6903   80  264 23766.1746 29973.4419  26.1%  66.4 1793s
 48608 36898 27691.1933  129  271 23766.1746 29973.4419  26.1%  66.4 1799s

Cutting planes:
  Learned: 21
  Gomory: 62
  Lift-and-project: 172
  Cover: 27
  Implied bound: 1
  MIR: 327
  StrongCG: 2
  Flow cover: 359
  RLT: 5
  Relax-and-lift: 2

Explored 48608 nodes (3842363 simplex iterations) in 1800.59 seconds (640.91 work units)
Thread count was 20 (of 20 available processors)

Solution count 10: 23766.2 23421.7 23421.7 ... 23031.9

Time limit reached
Best objective 2.376617457577e+04, best bound 2.997344194348e+04, gap 26.1181%
